,SB,SW,SR,SN,SE,SS,PUN,SP,PJ,PW,PR,PS,PI,PC,PL,PM,PZ,PX,PF,PA,PN,BF,FB,FG,FL,FM,FS,CE,CW,CY,CR,LA,LE,LW,LS,HE,HW,HM,TA,TE,OC,PO,PL,PB,PD,PX,PA,BP,BW,BY,BT,BL,BM,BC,BUN,MH,MS,AG,MB,MN,MM,ST,MP,OR,OW,OB,OK,OP,OS,OC,OE,OX,OY,OL,AB,AW,AX,AH,AM,EA,ER,ES,EU,EX,HB,HS,HC,HG,WB,BU,CB,CP,CV,CD,CH,SA,SBW,SF,SH,SK,SL,SM,SNW,SO,AL,AGL,AR,AV,BE,BI,CA,BA,BD,IW,BLUE,SY,TU,HK,SAS,GYM,GLED,MAG,PT,NYS,HAM,RHO,ROB,RHA,RHF,SOR,SOU,SOE,EUG,AT,CRB,AP,APM,CORN,CORA,CORS,VIB,VIBL,CEPH,OH,U
LE,0.7988272,0.82053715,0.811991,0.84751725,0.8203038,0.80532837,0.8141373,0.8350104,0.80987704,0.79670453,0.8025426,0.83796656,0.79813373,0.79513717,0.7815956,0.7707112,0.83505034,0.794044,0.8013785,0.8052541,0.8354717,0.8139864,0.7819791,0.81812084,0.8269414,0.7991195,0.82136244,0.74131274,0.7319074,0.760049,0.7522633,0.8610618,0.99999994,0.8791456,0.88515913,0.7607658,0.75920177,0.76342744,0.7650251,0.75716215,0.8389362,0.79277825,0.7783202,0.7727906,0.7629382,0.8003812,0.83463544,0.78793395,0.80320597,0.8166369,0.7853669,0.8063992,0.7943716,0.77828705,0.8329784,0.7949678,0.79301256,0.7918458,0.7764071,0.8161262,0.79395056,0.7595798,0.7963034,0.7966378,0.8138796,0.7736757,0.78041106,0.7947043,0.782504,0.7733921,0.80794114,0.7909038,0.78626174,0.7853676,0.78414893,0.7920828,0.788515,0.76628935,0.8121556,0.80022854,0.7584251,0.7844249,0.80279297,0.8148973,0.76255804,0.76520133,0.7734449,0.7729876,0.77120805,0.77409,0.77823585,0.81001353,0.7492576,0.8173027,0.7990308,0.78191274,0.8311689,0.74026245,0.7661345,0.7847903,0.7938654,0.80844855,0.78891325,0.78449047,0.7695029,0.8199376,0.7952115,0.7835789,0.7728325,0.8171188,0.7786733,0.77903116,0.78649324,0.725044,0.76263773,0.7700256,0.80775917,0.80073464,0.7660111,0.7644105,0.7461953,0.7415522,0.7310647,0.7491735,0.714463,0.74790144,0.77646625,0.78507984,0.78175235,0.79993343,0.78136045,0.81948125,0.6917456,0.7631975,0.76574993,0.7564768,0.7919737,0.74892193,0.7657131,0.75028634,0.726616,0.72620654,0.73042434,0.7980825,0.752835
LW,0.77291745,0.8016697,0.8038993,0.7887355,0.8017037,0.80322313,0.7910308,0.808827,0.81220037,0.7791498,0.78800833,0.77638435,0.78756297,0.8029448,0.7982609,0.76887,0.78507215,0.8216363,0.80403364,0.79620314,0.80826735,0.805741,0.7977644,0.8091567,0.816386,0.81588924,0.8249646,0.7911483,0.7897617,0.7623525,0.77643496,0.84221333,0.8791456,1.0000001,0.8649947,0.76279116,0.7971194,0.767157,0.7616652,0.7579465,0.8280457,0.7691713,0.7524889,0.75192153,0.7613626,0.77566516,0.7777977,0.73164886,0.7809411,0.77603287,0.76084554,0.778989,0.7548874,0.84672964,0.74660456,0.76592016,0.7540435,0.76155186,0.7446523,0.72654283,0.7836114,0.7204114,0.74398065,0.75749135,0.7828318,0.7426812,0.7559345,0.7556899,0.7495036,0.777055,0.78247994,0.7716168,0.7905356,0.7765636,0.76837486,0.7914609,0.78221524,0.7798602,0.80299634,0.7569714,0.7339574,0.73671424,0.73466563,0.771826,0.7569256,0.7805581,0.74243546,0.7465468,0.75256836,0.76071286,0.73736113,0.76821244,0.74180734,0.73644865,0.73682046,0.7467105,0.7749939,0.72920364,0.743257,0.73384017,0.7648542,0.77842665,0.7525341,0.7353143,0.75257885,0.75661254,0.78527486,0.78045934,0.7508979,0.74908245,0.7743567,0.7588811,0.74154913,0.7441224,0.754249,0.79739237,0.78052187,0.8220761,0.7563361,0.75671494,0.72759545,0.73934555,0.73434913,0.7344623,0.747357,0.74219275,0.75049484,0.7353361,0.7401856,0.79679966,0.7750532,0.7906308,0.71837103,0.7499833,0.75683796,0.74796504,0.75435424,0.73788446,0.7425904,0.75610083,0.72659695,0.73876965,0.7918204,0.7735115,0.74385166
LS,0.79849243,0.777316,0.7771317,0.79084337,0.79823846,0.79669005,0.75826335,0.8056274,0.7927816,0.7675601,0.78475505,0.80381006,0.76170063,0.7771021,0.75014496,0.7311479,0.77209175,0.74970603,0.7763758,0.78231645,0.8096507,0.7961559,0.7618408,0.7928383,0.81925046,0.7701162,0.7749811,0.73079586,0.703594,0.75833434,0.7180133,0.87861925,0.88515913,0.8649947,1.0000001,0.74487865,0.7403779,0.73937565,0.7424372,0.7583957,0.83806556,0.74632967,0.74217224,0.76641744,0.7329554,0.7580471,0.74098814,0.7173207,0.7804366,0.79419255,0.74600124,0.76722133,0.77625144,0.7643013,0.7373788,0.7893114,0.7738081,0.78334296,0.7633931,0.74396604,0.75672984,0.7364462,0.7486176,0.78400123,0.75321823,0.7526205,0.7608633,0.7616881,0.75039464,0.7327565,0.77059436,0.7473629,0.73455507,0.75542855,0.7959953,0.7734906,0.7617943,0.7567905,0.79105484,0.77389354,0.71911824,0.7462584,0.77948606,0.7335299,0.7607158,0.76031756,0.7657141,0.73831713,0.7673296,0.75943923,0.75963384,0.7681962,0.7246418,0.7409346,0.7131082,0.76236075,0.75447273,0.7267115,0.73982984,0.7619659,0.768466,0.7897853,0.75554824,0.74270904,0.75203955,0.77358407,0.7822802,0.75978017,0.7474546,0.73907405,0.7371047,0.75815,0.7503964,0.72745216,0.73523325,0.7546203,0.7835218,0.7477075,0.75181377,0.7298707,0.7397954,0.7254418,0.69504577,0.75440615,0.6896659,0.6892079,0.7319957,0.6906885,0.7153809,0.79312855,0.781421,0.76645184,0.6819078,0.741907,0.7230752,0.73482025,0.74825317,0.7059715,0.747253,0.7443018,0.6943393,0.6961475,0.7138114,0.7681874,0.7413635
HE,0.81364137,0.836449,0.8200216,0.8007507,0.8064463,0.81766796,0.7855548,0.8346124,0.8013094,0.86092556,0.850199,0.7761165,0.79149586,0.80314136,0.7899106,0.7310848,0.78663826,0.7990668,0.7912369,0.79596514,0.8313998,0.8166069,0.7854487,0.8345114,0.79393363,0.81826425,0.82290787,0.81497675,0.77920765,0.7583344,0.7553326,0.7807281,0.7607658,0.76279116,0.74487865,0.9999999,0.9187151,0.890555,0.7428903,0.8047129,0.7949364,0.7675555,0.78467476,0.74962234,0.77579385,0.7967643,0.74714893,0.73839384,0.77228445,0.8296317,0.7757216,0.7668779,0.7691582,0.7672544,0.73804253,0.78654855,0.77740467,0.7424234,0.7263742,0.73027205,0.7475278,0.7709514,0.7312566,0.7895793,0.7728298,0.7351482,0.7395174,0.7359842,0.73683333,0.72659,0.75368726,0.76576924,0.74393845,0.70463943,0.7542881,0.7867718,0.76627153,0.7339685,0.7468827,0.791983,0.7585448,0.7515518,0.7085302,0.7322418,0.769721,0.7614772,0.73495245,0.74403167,0.7438829,0.7508253,0.7714029,0.7381104,0.71842146,0.7128713,0.7049475,0.7347677,0.7302425,0.7388582,0.699294,0.72317815,0.71156126,0.7506696,0.7252298,0.7022177,0.73048675,0.7173971,0.74043983,0.7105379,0.82044005,0.74725413,0.7580926,0.8025441,0.73965836,0.7542728,0.74990135,0.7593744,0.7422047,0.75646967,0.7118309,0.7344767,0.72557455,0.72708935,0.7661548,0.74524087,0.7265018,0.7105062,0.6943283,0.7121715,0.7411604,0.7425911,0.71552277,0.70131576,0.6877183,0.7073046,0.6986582,0.72292316,0.70315385,0.68294615,0.74343216,0.7224845,0.68657744,0.6794754,0.72994447,0.7879636,0.6926099
HW,0.809209,0.8266088,0.81563145,0.8007924,0.79764116,0.8356763,0.7848385,0.8305478,0.80090153,0.7917181,0.7979685,0.7881185,0.7993233,0.79548967,0.80409545,0.75751114,0.79269606,0.8240478,0.7960798,0.7973919,0.82537496,0.8222135,0.80445814,0.8302189,0.80668443,0.8409946,0.82421863,0.7644942,0.8056669,0.75071585,0.7269464,0.767683,0.75920177,0.7971194,0.7403779,0.9187151,1.0000004,0.90450746,0.78070045,0.767429,0.7923902,0.75285757,0.7287857,0.7466644,0.7452483,0.7701917,0.74421555,0.73334795,0.74907446,0.7685806,0.75694406,0.7424498,0.75691146,0.7578301,0.7258415,0.7319505,0.7527396,0.7252346,0.7124875,0.7026863,0.7437258,0.7188623,0.7364882,0.73588777,0.75526744,0.7027584,0.71766716,0.73361087,0.73846567,0.72177005,0.74693453,0.7600207,0.7516209,0.73052526,0.76121503,0.74343663,0.7454249,0.7373869,0.75897557,0.7250643,0.717436,0.7207763,0.7086959,0.74228454,0.7304435,0.73563826,0.7216036,0.72945476,0.7380917,0.72804785,0.73008835,0.73110706,0.70551574,0.7110463,0.70428795,0.74036825,0.7342142,0.7217024,0.7006924,0.7174695,0.7159797,0.74441487,0.72592634,0.7110116,0.7286558,0.7074038,0.73958963,0.7159916,0.77118593,0.74882215,0.73750246,0.7405615,0.7216094,0.7184824,0.7253627,0.74267757,0.7462872,0.73027146,0.7097128,0.73794544,0.7031048,0.7452764,0.7686528,0.74979895,0.7437645,0.73533595,0.7017077,0.72385657,0.741118,0.726483,0.7170976,0.71269894,0.70909905,0.7037741,0.71811044,0.72555816,0.70574677,0.69039065,0.71101665,0.7101475,0.7117045,0.7030219,0.7372206,0.7778479,0.71540177
HM,0.8102979,0.80361944,0.8011304,0.79350084,0.8423798,0.80807775,0.7960074,0.81727576,0.7899031,0.7917851,0.78818077,0.78636765,0.7739267,0.8167759,0.7843277,0.7955599,0.78884065,0.80916625,0.8311955,0.83461607,0.8101043,0.82082105,0.80861664,0.8145515,0.8502493,0.8265132,0.82934654,0.7472208,0.7678591,0.79536015,0.7262412,0.77357453,0.76342744,0.767157,0.73937565,0.890555,0.90450746,1.0,0.753618,0.74632686,0.7736627,0.74489605,0.7406421,0.74821246,0.7348118,0.7441418,0.73318595,0.7273494,0.75193584,0.76631397,0.74786544,0.74904644,0.7449599,0.7522163,0.73227084,0.7260773,0.7453978,0.7121315,0.7229266,0.717965,0.76723874,0.74657387,0.7254247,0.72288567,0.7480563,0.6957143,0.71503127,0.7330686,0.71464294,0.7287123,0.74689704,0.7443984,0.7538562,0.71347713,0.73958755,0.7443406,0.7408552,0.74263597,0.7448561,0.725398,0.71959305,0.7260133,0.70877004,0.7387463,0.71234906,0.70779526,0.6955893,0.7023555,0.72046554,0.7188515,0.7498847,0.744423,0.7124934,0.7177885,0.7084912,0.71949685,0.72356737,0.72176707,0.69978315,0.72513187,0.7108902,0.7239754,0.70855016,0.69929713,0.72548115,0.7081356,0.7259063,0.76425517,0.7816125,0.75535005,0.72911316,0.7374977,0.70530605,0.7214638,0.7384862,0.72615683,0.74052024,0.72162366,0.71234024,0.7210175,0.6994661,0.71805227,0.7389393,0.73545456,0.7131711,0.7302151,0.6843779,0.73580015,0.74402106,0.73698395,0.7247509,0.7363461,0.6878641,0.70314014,0.687897,0.7040849,0.7038619,0.6717037,0.7059653,0.6908047,0.6908107,0.67830855,0.6917496,0.75949377,0.69451004
TA,0.76948065,0.76155007,0.77194875,0.7667339,0.76516473,0.7754934,0.7801742,0.7738111,0.76515704,0.73961407,0.7362786,0.7356716,0.74974096,0.75051516,0.7389081,0.7370884,0.7342791,0.7408768,0.7665199,0.7565403,0.76219714,0.7792709,0.7794562,0.7793804,0.7679701,0.804451,0.7650176,0.7229961,0.7581113,0.7748103,0.7247134,0.7628175,0.7650251,0.7616652,0.7424372,0.7428903,0.78070045,0.753618,1.0,0.9002384,0.7694861,0.7545074,0.7156678,0.7565078,0.7165037,0.7367443,0.73596096,0.71508026,0.7583673,0.7394402,0.7435734,0.7430901,0.72869575,0.75546575,0.73356056,0.7093026,0.7147018,0.7176769,0.72516215,0.7035605,0.73568803,0.7393098,0.7163534,0.70563847,0.71177185,0.7018349,0.69841266,0.7085863,0.6859286,0.6895344,0.7134096,0.67997736,0.6905361,0.71180844,0.7370806,0.7058481,0.74243647,0.7092517,0.7385005,0.6722122,0.67642003,0.7041848,0.6847139,0.69319046,0.7124189,0.69055057,0.6759361,0.6976116,0.70498794,0.7173639,0.71106285,0.7406495,0.6846966,0.7249794,0.70362765,0.716841,0.73407453,0.71640354,0.7000568,0.7393228,0.7463211,0.7511838,0.73356557,0.72613907,0.7206998,0.70163065,0.74949855,0.72707784,0.6986059,0.701628,0.6957604,0.7194853,0.7185371,0.6882088,0.73414373,0.711939,0.71834564,0.73203814,0.6763396,0.717367,0.68109024,0.6828065,0.6908413,0.6832788,0.65724885,0.7034432,0.684985,0.69610596,0.72429526,0.73196876,0.74909806,0.6968398,0.70174944,0.69763017,0.68350637,0.69602054,0.7066222,0.7346909,0.74176615,0.7364447,0.7034292,0.6899825,0.7248603,0.7277474,0.72107923
TE,0.7808538,0.78298146,0.7957698,0.77381486,0.77493614,0.77589345,0.78636,0.7955784,0.7765717,0.7674103,0.78120315,0.73556256,0.7629623,0.7754786,0.74540573,0.7329127,0.7294671,0.73133713,0.77901983,0.76316714,0.78166765,0.80041754,0.7823467,0.7864438,0.7742406,0.79170406,0.77801144,0.7516713,0.7441341,0.7974305,0.747519,0.77708113,0.75716215,0.7579465,0.7583957,0.8047129,0.767429,0.74632686,0.9002384,0.99999994,0.78980494,0.78117347,0.76038283,0.7558507,0.7334725,0.7934189,0.73620844,0.7167534,0.774314,0.78087276,0.77478373,0.766719,0.7318186,0.7757756,0.7325915,0.74893427,0.74393153,0.71618146,0.7268437,0.71807283,0.75557405,0.7462398,0.7181427,0.742242,0.729559,0.7305111,0.7176807,0.6962445,0.683617,0.6812961,0.70798945,0.6860288,0.6926795,0.71921897,0.75694823,0.7533996,0.7561062,0.72488844,0.7543117,0.70516527,0.7045352,0.71882015,0.6809107,0.69151676,0.7521013,0.71415293,0.6810869,0.71335816,0.71568274,0.737784,0.73824394,0.74792117,0.72542536,0.7329055,0.7144561,0.7253873,0.74083674,0.7322208,0.72958976,0.7642094,0.7571842,0.7864314,0.7557329,0.7339721,0.761801,0.71214926,0.7549032,0.7603147,0.7311055,0.71198964,0.72163796,0.7568803,0.7423934,0.70454675,0.7387282,0.7221127,0.69113034,0.7419345,0.70969164,0.72687954,0.70654035,0.67513454,0.69466937,0.6848749,0.6747028,0.70492196,0.70182645,0.71424425,0.7438772,0.7570108,0.765147,0.6997164,0.7105971,0.73713243,0.7086755,0.70447606,0.7076819,0.74285555,0.77323675,0.7813951,0.7097517,0.7315269,0.7400177,0.7543709,0.72940814
OC,0.83687866,0.8471806,0.8409415,0.8551243,0.8291215,0.8330599,0.8306234,0.88744855,0.8492228,0.809204,0.8530165,0.82419133,0.82113755,0.84020644,0.8434703,0.7966131,0.8231723,0.80642885,0.8325368,0.8338459,0.9064954,0.8566077,0.7959647,0.82161975,0.8137009,0.82144785,0.8283,0.7955657,0.7723355,0.806291,0.7949279,0.82424253,0.8389362,0.8280457,0.83806556,0.7949364,0.7923902,0.7736627,0.7694861,0.78980494,1.0000002,0.77325815,0.7793424,0.7940731,0.7532663,0.8005927,0.7723553,0.7555589,0.7971916,0.807894,0.80364734,0.7941438,0.7760706,0.7992941,0.7661399,0.78079766,0.80366623,0.75387144,0.7510544,0.76613355,0.78863245,0.739429,0.7472322,0.79094017,0.7830602,0.76380634,0.77892864,0.7731468,0.7644279,0.7424327,0.79414797,0.7944486,0.77720493,0.7754799,0.79270434,0.7835432,0.7745205,0.7628222,0.81554455,0.7667457,0.7360398,0.76422316,0.7451269,0.7618215,0.7688627,0.7543236,0.7386211,0.7560045,0.75736785,0.77095824,0.7549961,0.77658665,0.75333893,0.7592241,0.74281275,0.75800467,0.7750488,0.7289711,0.7471831,0.77081513,0.7582562,0.8167329,0.76191723,0.7497382,0.7666396,0.77170885,0.77205235,0.761906,0.7742575,0.7798431,0.7649554,0.774697,0.76243114,0.7297679,0.7637576,0.7780693,0.7528339,0.760517,0.74545735,0.743075,0.73680186,0.7274665,0.7272676,0.75286895,0.71744937,0.7616602,0.74050844,0.7235355,0.7306814,0.7826551,0.77551025,0.76025224,0.6746038,0.72600895,0.7560687,0.74246716,0.7402353,0.72782695,0.7417395,0.75176793,0.7034416,0.70703846,0.724762,0.8131423,0.7901622
PO,0.7746968,0.7965765,0.8026874,0.7910048,0.78708607,0.7623632,0.7913248,0.79903036,0.7764283,0.7971024,0.7904966,0.7629134,0.79610085,0.8008274,0.77809435,0.70969385,0.75972134,0.7710497,0.7904544,0.79009473,0.79929894,0.8149326,0.7683549,0.80478597,0.77625257,0.79951584,0.8116689,0.738785,0.73992485,0.7512865,0.7510765,0.76913,0.79277825,0.7691713,0.74632967,0.7675555,0.75285757,0.74489605,0.7545074,0.78117347,0.77325815,1.0000001,0.8842813,0.86059725,0.84883845,0.8612058,0.87111264,0.84638613,0.83109736,0.8045158,0.84645134,0.82764614,0.79665256,0.77193576,0.8082818,0.8225473,0.8184256,0.8068634,0.78629243,0.8089392,0.79601187,0.74535227,0.80399084,0.814615,0.81950164,0.8052802,0.78816164,0.7949501,0.7842023,0.7634394,0.78699684,0.79704106,0.799253,0.75387764,0.81149554,0.83124727,0.80660313,0.81341505,0.83653367,0.8018217,0.79151785,0.82925534,0.75571156,0.7894647,0.8230221,0.783736,0.77813476,0.8151156,0.79244393,0.7944444,0.81458783,0.8256943,0.76251334,0.8009448,0.7946127,0.7882748,0.7949585,0.7923266,0.7721682,0.77274716,0.7776674,0.8036349,0.7606535,0.7784249,0.78663296,0.7970154,0.816333,0.7738217,0.80733293,0.8015891,0.815819,0.7771139,0.73632085,0.7592805,0.79264367,0.8124761,0.7785613,0.77238536,0.7764958,0.7454039,0.7397124,0.73678833,0.7429784,0.7660935,0.75035584,0.7578194,0.7531615,0.7799166,0.7541714,0.77602553,0.77319765,0.76089394,0.7118292,0.71826005,0.762205,0.78041005,0.7745605,0.76108783,0.7654801,0.74537843,0.7049845,0.71106076,0.7020377,0.8343054,0.7374909
PL,0.7406776,0.77549314,0.7701445,0.7612745,0.762221,0.7517357,0.7676055,0.76888216,0.7649684,0.79816663,0.8297746,0.7457038,0.7647766,0.7711919,0.7407627,0.700456,0.760648,0.7455213,0.7636419,0.77883804,0.78699464,0.7730305,0.7181103,0.8144963,0.7446009,0.75917655,0.7715688,0.7514716,0.7241466,0.7421417,0.75964963,0.7438721,0.7783202,0.7524889,0.74217224,0.78467476,0.7287857,0.7406421,0.7156678,0.76038283,0.7793424,0.8842813,1.0000004,0.8307555,0.85139036,0.8462039,0.83381045,0.8181848,0.80677444,0.82378304,0.82530963,0.8018713,0.78144765,0.7682342,0.7924041,0.8356888,0.81913584,0.77072245,0.777369,0.7977327,0.7677897,0.77663887,0.778458,0.8444494,0.7990494,0.8086547,0.7933404,0.78118294,0.7641314,0.76291054,0.79175913,0.78525215,0.79034793,0.7342429,0.7778234,0.83209074,0.80371255,0.78905666,0.79646945,0.81420076,0.7849785,0.8028523,0.7386606,0.7713357,0.8104257,0.78692514,0.76902944,0.81361187,0.7649984,0.7742938,0.83270836,0.78240716,0.7492525,0.7593084,0.7625074,0.7747397,0.77054775,0.78819364,0.7637979,0.74895704,0.7572614,0.78194094,0.7276342,0.73984236,0.7472347,0.78518146,0.7861978,0.75240964,0.8555358,0.76945865,0.79347354,0.8163179,0.7267802,0.7741016,0.78238034,0.805859,0.77485144,0.77347904,0.769917,0.7431693,0.7647758,0.72796917,0.7565887,0.76154244,0.73155916,0.72715235,0.7368619,0.7471626,0.7247563,0.73818195,0.73739165,0.730385,0.67549694,0.70329225,0.71341956,0.73571527,0.749225,0.7372947,0.78510964,0.7402952,0.6732625,0.6849483,0.7011224,0.81701374,0.7149551
PB,0.7825934,0.7682149,0.76077366,0.76802266,0.7667587,0.76451206,0.7691524,0.7784709,0.7656068,0.7746928,0.7750339,0.7417974,0.74874014,0.74892694,0.7353511,0.6861129,0.7379191,0.7291593,0.7814076,0.7680792,0.7826442,0.864609,0.74241877,0.7675834,0.76744753,0.7655971,0.75431377,0.72184795,0.71957433,0.7405417,0.7398364,0.7815092,0.7727906,0.75192153,0.76641744,0.74962234,0.7466644,0.74821246,0.7565078,0.7558507,0.7940731,0.86059725,0.8307555,1.0,0.86704326,0.8594102,0.84871376,0.82753825,0.82484424,0.8171138,0.82660455,0.8145988,0.83723366,0.80953616,0.7819656,0.791571,0.8235244,0.82336414,0.79626703,0.7824222,0.7775996,0.75215447,0.7711985,0.81253105,0.7913201,0.8158857,0.7833134,0.8100971,0.79160714,0.75010717,0.7917447,0.76451844,0.7916866,0.74122906,0.81715137,0.8047123,0.81836724,0.8062674,0.8254818,0.83365095,0.7735466,0.8178479,0.755973,0.7595193,0.77768147,0.7779644,0.8135015,0.78314877,0.7998781,0.8254155,0.7832328,0.77363354,0.75541043,0.7499924,0.74297255,0.79782426,0.7991573,0.78204614,0.79708296,0.77711195,0.76969194,0.8068981,0.7412839,0.7939115,0.788417,0.81773067,0.82297885,0.78045887,0.775123,0.7653482,0.7961062,0.7915801,0.7474507,0.7715051,0.792305,0.8205285,0.7757205,0.78934634,0.7670181,0.74719286,0.7615398,0.7195057,0.7476736,0.7736893,0.75023085,0.72161424,0.76861656,0.744545,0.75898963,0.7832131,0.77716553,0.7621825,0.70455825,0.7411736,0.729899,0.74028015,0.7463927,0.743541,0.7516791,0.76059884,0.701217,0.7075318,0.7120052,0.835208,0.71594894
PD,0.7421816,0.75210094,0.75271124,0.7370199,0.75298476,0.75532246,0.74097604,0.75150126,0.7795905,0.7963947,0.7976509,0.73523664,0.7606566,0.76397526,0.73622775,0.68970907,0.7389139,0.7399706,0.7658738,0.76679355,0.7704276,0.76246077,0.72099805,0.7724446,0.7461145,0.76436377,0.7618932,0.76575905,0.7554103,0.73777735,0.78016496,0.75156516,0.7629382,0.7613626,0.7329554,0.77579385,0.7452483,0.7348118,0.7165037,0.7334725,0.7532663,0.84883845,0.85139036,0.86704326,1.0,0.8814494,0.8455799,0.8148155,0.7926948,0.7950239,0.7977371,0.77841675,0.83134276,0.79643,0.76314,0.7987418,0.82003593,0.8060607,0.79669476,0.78029937,0.77112675,0.75440466,0.77634037,0.80589575,0.78747404,0.7836083,0.7742178,0.810061,0.79711115,0.77707404,0.7815784,0.78456247,0.7879941,0.72137773,0.76926726,0.7917057,0.80542946,0.7753198,0.7766082,0.8407287,0.8043495,0.7916328,0.7210207,0.75525576,0.82382107,0.8101904,0.8439729,0.8134487,0.7906031,0.7984559,0.8124707,0.7565292,0.7557023,0.7607377,0.7564086,0.811586,0.81344867,0.80989695,0.8014952,0.7594168,0.76869243,0.80117476,0.7501669,0.78990614,0.768908,0.79943454,0.8041438,0.7513026,0.76775503,0.7504126,0.8007996,0.8115237,0.73855907,0.77617025,0.81321806,0.8506478,0.79111385,0.8011256,0.7728585,0.777747,0.78523505,0.74919826,0.77392936,0.77206486,0.7694851,0.7018527,0.7556246,0.7407516,0.7280842,0.7666307,0.74704033,0.75043607,0.7205196,0.7310158,0.7198224,0.7880972,0.73779684,0.73951244,0.74204564,0.7419833,0.6810065,0.69544804,0.737334,0.7937008,0.6870772
PX,0.77879167,0.78880847,0.7810476,0.7950314,0.77949446,0.7866652,0.7954656,0.80933815,0.7963534,0.79422444,0.7970942,0.7779429,0.78795177,0.77598214,0.7796576,0.7205714,0.78378826,0.7681583,0.7850943,0.7897717,0.82168585,0.8022122,0.75373685,0.78754765,0.76893926,0.79254544,0.79468334,0.73543435,0.7183326,0.75503874,0.77326953,0.7459199,0.8003812,0.77566516,0.7580471,0.7967643,0.7701917,0.7441418,0.7367443,0.7934189,0.8005927,0.8612058,0.8462039,0.8594102,0.8814494,1.0000002,0.87001973,0.85403764,0.80018127,0.80956566,0.82765603,0.807454,0.80481666,0.77203006,0.77837217,0.82088524,0.8238547,0.79754245,0.778408,0.7930472,0.78042144,0.7612342,0.80891454,0.81867003,0.8149877,0.7989186,0.78695786,0.821741,0.8147909,0.77808976,0.79537153,0.8171213,0.81165236,0.74044704,0.7921052,0.8203238,0.81185156,0.8029666,0.81827813,0.8264914,0.7783852,0.78888464,0.7670245,0.78591865,0.8360055,0.82975477,0.82162654,0.85040265,0.80710006,0.79613054,0.8269345,0.7918683,0.7701194,0.79412794,0.7900573,0.7978635,0.8008065,0.77844095,0.75697386,0.7633351,0.74868155,0.79836416,0.747876,0.7691714,0.77188724,0.7928839,0.7918078,0.7614938,0.80430937,0.8050402,0.829033,0.80617654,0.778903,0.7665489,0.8108892,0.826112,0.78418964,0.7942953,0.7874235,0.7959524,0.79117215,0.76731896,0.7557534,0.79441893,0.7700378,0.7129666,0.7803073,0.75206083,0.73501706,0.788625,0.7578647,0.77803403,0.7076251,0.74558794,0.75937295,0.79529846,0.7821207,0.76223314,0.7588196,0.7526034,0.7004593,0.7208737,0.7416135,0.83524483,0.72615355
PA,0.76417136,0.8243827,0.772855,0.8073818,0.7671043,0.76887536,0.77757066,0.79520726,0.78693914,0.81042254,0.759802,0.7832741,0.77218854,0.75828177,0.750832,0.7157215,0.78963864,0.7974664,0.7645221,0.8088158,0.7909692,0.79284143,0.74600476,0.7989904,0.7729336,0.8107683,0.825414,0.740638,0.7286235,0.70710886,0.7722868,0.74782693,0.83463544,0.7777977,0.74098814,0.74714893,0.74421555,0.73318595,0.73596096,0.73620844,0.7723553,0.87111264,0.83381045,0.84871376,0.8455799,0.87001973,1.0000001,0.8651296,0.81671643,0.7945798,0.8398479,0.7991732,0.80627364,0.78166944,0.8501098,0.80430084,0.7979375,0.8219272,0.79445994,0.83440256,0.79399574,0.7577418,0.8186857,0.7854669,0.886703,0.8031981,0.77025336,0.800527,0.82108146,0.7721083,0.7856356,0.80222464,0.8056623,0.7459295,0.7837044,0.8391197,0.8139345,0.78735733,0.8261644,0.7957751,0.76979864,0.78636086,0.79972214,0.8133193,0.78419566,0.7740283,0.7941487,0.80182815,0.7927162,0.80510974,0.7835554,0.78703076,0.74995303,0.8115109,0.8062228,0.782759,0.9059376,0.77444184,0.78083944,0.7673943,0.7741218,0.7970947,0.7575271,0.79669935,0.78183085,0.8126061,0.79805374,0.7674968,0.7802247,0.8224791,0.8079449,0.78828245,0.7830566,0.7311259,0.7702405,0.80119437,0.7579204,0.79746515,0.77603203,0.75539416,0.75773287,0.7504894,0.74465936,0.7348889,0.7595428,0.7285646,0.7951811,0.7939814,0.7792009,0.7815858,0.7588533,0.8148089,0.7139869,0.7273632,0.7729136,0.7682272,0.78508246,0.7499486,0.7523912,0.7421871,0.7195462,0.71597975,0.71030384,0.8286123,0.72380555
